module,id
9_Module_9,CCDC3
9_Module_9,ADAMTS13
9_Module_9,RELN
9_Module_9,IGFBP7
9_Module_9,IGHA1
9_Module_9,HSPB6
9_Module_9,SELENOP
9_Module_9,TNXB
9_Module_9,HGF
9_Module_9,CFH
9_Module_9,DNASE1L3
9_Module_9,TSLP
9_Module_9,PTGDS
9_Module_9,TMEM200C
9_Module_9,DBH
10_Module_10,A2M
10_Module_10,AQP1
10_Module_10,COL4A2
10_Module_10,CAV1
10_Module_10,VIM
10_Module_10,COL4A1
10_Module_10,SPARCL1
10_Module_10,COL18A1
10_Module_10,ADGRL4
10_Module_10,COL15A1
10_Module_10,CD93
10_Module_10,ENG
10_Module_10,C11orf96
10_Module_10,CALCRL
10_Module_10,CLDN5
10_Module_10,EGFL7
10_Module_10,CDH5
10_Module_10,LAMB1
10_Module_10,ADAMTS9
10_Module_10,NID1
10_Module_10,PLVAP
10_Module_10,MCAM
10_Module_10,CD34
10_Module_10,FOS
10_Module_10,TGFB3
10_Module_10,NID2
10_Module_10,CLEC14A
10_Module_10,DEPP1
10_Module_10,PLXDC1
10_Module_10,PGF
11_Stromal,NBL1
11_Stromal,LOXL2
11_Stromal,SPOCK1
11_Stromal,ITGA11
11_Stromal,FN1
11_Stromal,EDIL3
11_Stromal,COL10A1
11_Stromal,ITGAV
11_Stromal,ANKH
11_Stromal,ACTA2
11_Stromal,ITGA5
11_Stromal,COL8A1
11_Stromal,COMP
11_Stromal,GJB2
11_Stromal,TPM2
11_Stromal,TNC
11_Stromal,ITGBL1
11_Stromal,SPHK1
11_Stromal,KLK4
11_Stromal,RFLNB
11_Stromal,DACT1
11_Stromal,PLAU
11_Stromal,CEMIP
11_Stromal,TAX1BP3
11_Stromal,MS4A7
11_Stromal,COL5A3
11_Stromal,ANXA2
11_Stromal,SERPINE1
11_Stromal,THBS4
11_Stromal,SRPX
12_Proliferation_Cell-cycle,SCGB2A2
12_Proliferation_Cell-cycle,MIPOL1
12_Proliferation_Cell-cycle,PRAME
12_Proliferation_Cell-cycle,CITED4
12_Proliferation_Cell-cycle,LRP5
12_Proliferation_Cell-cycle,TMEM135
12_Proliferation_Cell-cycle,PPARG
12_Proliferation_Cell-cycle,SNCG
12_Proliferation_Cell-cycle,PPP6R3
12_Proliferation_Cell-cycle,TFAP2B
12_Proliferation_Cell-cycle,TSKU
12_Proliferation_Cell-cycle,TASOR2
12_Proliferation_Cell-cycle,NINL
12_Proliferation_Cell-cycle,CEACAM6
12_Proliferation_Cell-cycle,SLC25A39
12_Proliferation_Cell-cycle,NME2
12_Proliferation_Cell-cycle,CHKA
12_Proliferation_Cell-cycle,XRN2
12_Proliferation_Cell-cycle,KIF18A
12_Proliferation_Cell-cycle,SLITRK6
12_Proliferation_Cell-cycle,ASRGL1
12_Proliferation_Cell-cycle,IGFBP5
12_Proliferation_Cell-cycle,RMND1
12_Proliferation_Cell-cycle,RCAN1
12_Proliferation_Cell-cycle,CASC3
12_Proliferation_Cell-cycle,C19orf33
12_Proliferation_Cell-cycle,KMT5B
12_Proliferation_Cell-cycle,HMGCS2
12_Proliferation_Cell-cycle,TUBB2B
12_Proliferation_Cell-cycle,IMPA2
13_Luminal,VDAC3
13_Luminal,SMIM19
13_Luminal,H2AFJ
13_Luminal,CCT2
13_Luminal,LTO1
13_Luminal,VDAC2
13_Luminal,DHCR7
13_Luminal,IFI27
13_Luminal,P4HB
13_Luminal,SLC38A1
13_Luminal,FADS2
13_Luminal,SLC39A6
13_Luminal,BST2
13_Luminal,NDUFS8
13_Luminal,MIPEP
13_Luminal,UBXN1
13_Luminal,ELP2
13_Luminal,RAB3IP
13_Luminal,SBSPON
13_Luminal,NUP58
13_Luminal,EPCAM
13_Luminal,LY6E
13_Luminal,CYC1
13_Luminal,SLC1A5
13_Luminal,EHF
13_Luminal,SYAP1
13_Luminal,NRIP1
13_Luminal,FOXA1
13_Luminal,ANAPC11
13_Luminal,FAM83H
14_Luminal,FUT8
14_Luminal,USP22
14_Luminal,VEGFC
14_Luminal,HECTD1
14_Luminal,SCFD1
14_Luminal,UBE2Z
14_Luminal,SPCS3
14_Luminal,SPECC1
14_Luminal,ARHGAP40
14_Luminal,S100A16
14_Luminal,EFS
14_Luminal,ZNF652
14_Luminal,SLC12A2
14_Luminal,GNPNAT1
14_Luminal,S100A14
14_Luminal,RNF43
14_Luminal,ALDH3B2
14_Luminal,STRN3
14_Luminal,KRT7
14_Luminal,TMEM11
14_Luminal,PRKACB
14_Luminal,KRT8
14_Luminal,ASPH
14_Luminal,FRMD4A
14_Luminal,LDLRAD3
14_Luminal,MUC6
14_Luminal,ERO1A
14_Luminal,DHRS2
14_Luminal,TUBA1B
14_Luminal,CSDE1
15_Module_15,ADGRE5
15_Module_15,CFLAR
15_Module_15,ARHGEF1
15_Module_15,DOCK8
15_Module_15,GIMAP6
15_Module_15,DOCK11
15_Module_15,DOCK10
15_Module_15,APOBEC3G
15_Module_15,ST8SIA4
15_Module_15,SELPLG
15_Module_15,AOAH
15_Module_15,VSIR
15_Module_15,CCDC88B
15_Module_15,NABP1
15_Module_15,VCAM1
15_Module_15,LIX1L
15_Module_15,KLRB1
15_Module_15,CXCR3
15_Module_15,ENTPD1
15_Module_15,GLIPR1
15_Module_15,LBH
15_Module_15,TNFAIP2
15_Module_15,LAMP3
